"table_name","constraint_name","constraint_type","column_name","foreign_table","foreign_column"
"entity_form_mappings","entity_form_mappings_parent_entity_id_fkey","FOREIGN KEY","parent_entity_id","parent_entities","id"
"entity_form_mappings","entity_form_mappings_permission_entity_id_fkey","FOREIGN KEY","permission_entity_id","permission_entities","id"
"entity_form_mappings","entity_form_mappings_pkey","PRIMARY KEY","id","entity_form_mappings","id"
"entity_form_mappings","entity_form_mappings_production_entity_id_fkey","FOREIGN KEY","production_entity_id","production_entities","id"
"entity_form_mappings","entity_form_mappings_sales_engine_entity_id_fkey","FOREIGN KEY","sales_engine_entity_id","sales_engine_entities","id"
"entity_form_mappings","entity_form_mappings_team_entity_id_fkey","FOREIGN KEY","team_entity_id","team_entities","id"
"entity_subtypes","entity_subtypes_pkey","PRIMARY KEY","id","entity_subtypes","id"
"entity_types","entity_types_pkey","PRIMARY KEY","id","entity_types","id"
"form_components","form_components_created_by_fkey","FOREIGN KEY","created_by","users","id"
"form_components","form_components_organization_id_fkey","FOREIGN KEY","organization_id","organizations","id"
"form_components","form_components_pkey","PRIMARY KEY","id","form_components","id"
"form_definitions","form_definitions_created_by_fkey","FOREIGN KEY","created_by","users","id"
"form_definitions","form_definitions_pkey","PRIMARY KEY","id","form_definitions","id"
"opportunities","opportunities_collection_id_fkey","FOREIGN KEY","collection_id","collections","id"
"opportunities","opportunities_pkey","PRIMARY KEY","id","opportunities","id"
"opportunity_types","opportunity_types_pkey","PRIMARY KEY","id","opportunity_types","id"
"user_engagement_role_assignments","user_engagement_role_assignments_assigned_by_fkey","FOREIGN KEY","assigned_by","users","id"
"user_engagement_role_assignments","user_engagement_role_assignments_engagement_role_id_fkey","FOREIGN KEY","engagement_role_id","engagement_roles","id"
"user_engagement_role_assignments","user_engagement_role_assignments_pkey","PRIMARY KEY","id","user_engagement_role_assignments","id"
"user_engagement_role_assignments","user_engagement_role_assignments_user_id_fkey","FOREIGN KEY","user_id","users","id"
