"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","salesblanket","public","drive_departments","drive_type_id",2,"uuid",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","location_types","description",3,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_engagement_access_conflict","metadata",5,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","bucket_settings","updated_at",10,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","location_documentation","document_type",5,"character varying",50,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","neighborhood_streets","metadata",8,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","user_analytics","occurred_at",5,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_card_pulse_photo_annotations","updated_at",8,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_card_layout","display_order",4,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","goal_types","trigger_type",7,"character varying",50,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","location_documentation","updated_at",13,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_engagement_access_history","action",9,"character varying",50,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_event_types","created_at",12,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","contacts","x",7,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_engagements","engagement_role_id",5,"uuid",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_card_pulse_photos","size",11,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","opportunity_types","created_at",6,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_card_pulse_drive","thumbnail_url",7,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_card_pulse_notebook","created_at",9,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","bucket_types","created_at",7,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","estimate_types","created_at",8,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_engagement_role_types","created_at",6,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","permissions","status",6,"character varying",50,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","core_settings","setting_value",3,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_managers","is_active",7,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","location_drives","created_at",10,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","filter_fields","is_searchable",7,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","notification_types","settings",9,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","opportunities","status",3,"character varying",50,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_card_pulse_photos","drive_file_id",6,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","role_permissions","activity_log_id",6,"uuid",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_card_pulse_meet","created_at",11,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","goal_types","description",3,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","zone_hierarchies","created_at",6,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_zones","zone_id",3,"uuid",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_card_pulse_role_levels","description",3,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_touchpoints","updated_at",9,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","role_permissions","role_id",2,"uuid",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","drive_achievements","metadata",5,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_event_approvals","created_at",12,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","location_settings","industry",12,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","address_opportunities","updated_at",8,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_achievement_types","conditions",6,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","department_milestones","created_at",8,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","address_contacts","created_at",7,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","zones","description",5,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","user_analytics","ip_address",6,"character varying",50,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","department_milestones","department_id",2,"uuid",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_touchpoints","status",6,"character varying",50,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","team_neighborhoods","team_id",2,"uuid",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","locations","location_type_id",3,"uuid",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_zones","created_at",7,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","permissions","updated_at",9,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_zones","entity_id",2,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_card_pulse_notebook","title",4,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_engagement_role_permissions","applies_to_entity_types",6,"ARRAY",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","drive_buckets","display_order",4,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","touchpoint_achievements","created_at",4,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","user_google_tokens","id_token",5,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_files","thumbnail_url",9,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_event_approvals","requested_by",5,"uuid",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","drive_geography_mapping","metadata",5,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","department_views","name",3,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","zones","metadata",12,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_types","display_name",2,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","role_settings","primary_department_id",4,"uuid",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","zone_types","description",4,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","opportunities","updated_at",8,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","notification_types","icon",4,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","role_views","updated_at",8,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","geographic_zones","parent_id",2,"uuid",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","department_types","name",2,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","collection_pulse","created_at",7,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_engagement_access_default_rules","updated_at",7,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","bucket_settings","is_archived",7,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","touchpoints","created_at",8,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","touchpoint_types","description",3,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_types","updated_at",7,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","addresses","created_at",17,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","location_departments","updated_at",6,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","user_view_preferences","updated_at",7,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","saved_filters","is_global",6,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_files","name",5,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","role_views","view_components",5,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","location_settings","updated_at",18,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_card_pulse_meet","title",4,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_card_pulse_notebook","notebook_id",3,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_engagement_access_history","assigned_by",5,"uuid",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_card_pulse_lead_referrals","referral_status",4,"character varying",50,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","users","last_name",6,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","addresses","street_id",12,"uuid",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_cards","color",5,"character varying",50,NULL,NULL,NULL,NULL
